Matches index,Matches number,Detector time (ms),Descriptor time (ms),Total time (ms)
0,118,0.896068,17.0244,17.9204
1,123,0.804243,15.2,16.0042
2,110,0.787894,14.7213,15.5091
3,119,0.774173,15.7193,16.4935
4,114,0.782461,16.1489,16.9314
5,119,0.788276,14.0119,14.8001
6,123,0.81151,12.2846,13.0962
7,117,0.689593,15.0322,15.7218
8,103,0.786706,13.8903,14.677
