Matches index,Matches number,Detector time (ms),Descriptor time (ms),Total time (ms)
0,65,5.67469,9.48597,15.1607
1,69,5.97687,9.30766,15.2845
2,71,5.03243,10.1471,15.1795
3,85,5.18303,9.92455,15.1076
4,91,5.33158,9.59127,14.9228
5,101,5.56582,9.70257,15.2684
6,95,5.23066,9.28056,14.5112
7,93,5.49352,9.43737,14.9309
8,91,5.21128,9.84341,15.0547
