Matches index,Matches number,Detector time (ms),Descriptor time (ms),Total time (ms)
0,64,79.0233,30.1574,109.181
1,72,82.068,34.2922,116.36
2,65,81.0928,34.6247,115.718
3,66,80.753,34.0945,114.848
4,63,82.5509,35.3954,117.946
5,58,81.0472,33.3351,114.382
6,64,84.8747,35.0129,119.888
7,65,81.2885,33.8759,115.164
8,79,83.6339,35.2794,118.913
