Matches index,Matches number,Detector time (ms),Descriptor time (ms),Total time (ms)
0,49,6.36143,0.397348,6.75878
1,43,5.88265,0.395098,6.27775
2,45,5.27948,0.638891,5.91837
3,59,5.23631,0.372709,5.60902
4,53,5.43266,0.444605,5.87726
5,78,5.07111,0.460088,5.5312
6,68,5.66587,0.462842,6.12872
7,84,5.79166,0.679274,6.47093
8,66,5.39369,0.473326,5.86701
