Matches index,Matches number,Detector time (ms),Descriptor time (ms),Total time (ms)
0,12,11.8857,2.90444,14.7901
1,13,10.963,2.7489,13.7119
2,16,10.3368,3.13099,13.4678
3,18,10.9375,2.89111,13.8286
4,24,20.25,2.73883,22.9888
5,18,10.3239,2.68131,13.0052
6,15,11.526,2.88998,14.416
7,24,11.2535,2.73896,13.9924
8,20,16.2282,2.67861,18.9068
