Matches index,Matches number,Detector time (ms),Descriptor time (ms),Total time (ms)
0,42,5.49212,30.6318,36.1239
1,36,5.16615,29.0524,34.2185
2,45,5.02396,28.3568,33.3808
3,47,4.94304,28.425,33.3681
4,44,5.43163,27.9908,33.4224
5,51,5.03854,28.4721,33.5106
6,52,5.04766,28.4045,33.4521
7,49,5.29978,28.0707,33.3705
8,55,5.69485,27.8682,33.5631
