Matches index,Matches number,Detector time (ms),Descriptor time (ms),Total time (ms)
0,122,0.867155,2.95374,3.82089
1,122,0.831219,2.9922,3.82341
2,115,0.777207,2.75608,3.53328
3,129,0.854199,2.97309,3.82729
4,107,0.777216,2.74576,3.52298
5,120,0.786645,2.93795,3.72459
6,126,0.772909,2.71528,3.48819
7,122,0.863969,3.05419,3.91816
8,118,0.784262,2.81629,3.60055
