Matches index,Matches number,Detector time (ms),Descriptor time (ms),Total time (ms)
0,67,5.21018,23.6485,28.8587
1,79,5.15166,23.8924,29.0441
2,78,5.32947,24.7214,30.0509
3,79,5.10482,23.7194,28.8242
4,82,5.15334,24.8948,30.0481
5,95,5.13837,26.6443,31.7827
6,95,5.84556,27.3331,33.1787
7,94,5.67852,28.3331,34.0116
8,94,5.41456,25.6093,31.0238
