Matches index,Matches number,Detector time (ms),Descriptor time (ms),Total time (ms)
0,178,29.9733,0.791793,30.7651
1,205,30.4278,0.804091,31.2319
2,185,30.4839,0.777929,31.2619
3,179,33.1462,0.977742,34.1239
4,183,30.1012,0.784309,30.8855
5,195,29.7514,0.805859,30.5573
6,207,30.2373,0.715133,30.9524
7,189,29.3907,0.760418,30.1511
8,183,30.1659,0.732313,30.8983
