Matches index,Matches number,Detector time (ms),Descriptor time (ms),Total time (ms)
0,160,31.0387,30.5954,61.6341
1,178,29.8641,29.0964,58.9605
2,156,29.2398,29.7438,58.9836
3,173,30.1374,29.0852,59.2227
4,160,29.6624,29.4466,59.1089
5,183,29.3093,29.2556,58.5649
6,169,28.7172,30.0191,58.7364
7,179,29.2672,29.959,59.2262
8,168,29.2808,28.8258,58.1066
