Matches index,Matches number,Detector time (ms),Descriptor time (ms),Total time (ms)
0,90,10.2642,29.1963,39.4605
1,88,8.58605,28.3351,36.9211
2,87,7.69127,28.6013,36.2926
3,89,7.63115,29.7552,37.3864
4,83,7.75683,28.6673,36.4241
5,78,7.64846,28.5629,36.2113
6,81,7.78633,29.08,36.8664
7,86,9.43801,28.8956,38.3336
8,84,7.52646,28.9225,36.449
