Matches index,Matches number,Detector time (ms),Descriptor time (ms),Total time (ms)
0,97,0.802813,1.61231,2.41512
1,104,0.78728,1.36622,2.1535
2,101,0.776546,1.40722,2.18377
3,98,0.77226,1.34477,2.11703
4,85,0.765706,1.57743,2.34314
5,107,0.785444,1.55736,2.3428
6,107,0.769709,1.39153,2.16124
7,100,0.779642,1.20387,1.98351
8,100,0.839716,1.25618,2.09589
