Matches index,Matches number,Detector time (ms),Descriptor time (ms),Total time (ms)
0,82,72.0345,60.3238,132.358
1,81,69.9228,61.0652,130.988
2,85,73.3783,66.0076,139.386
3,93,68.714,61.3766,130.091
4,90,72.294,60.7718,133.066
5,81,67.7104,62.5403,130.251
6,82,66.8571,62.5068,129.364
7,102,75.0249,63.9622,138.987
8,104,68.379,64.06,132.439
