Matches index,Matches number,Detector time (ms),Descriptor time (ms),Total time (ms)
0,64,79.201,1.40993,80.611
1,66,72.2197,1.24915,73.4689
2,62,67.3022,1.24223,68.5444
3,66,74.1744,1.23064,75.405
4,59,71.5898,1.22333,72.8131
5,64,66.9163,1.19974,68.1161
6,64,71.1772,1.26248,72.4397
7,67,66.6486,1.35435,68.003
8,80,70.5618,1.20529,71.7671
