Matches index,Matches number,Detector time (ms),Descriptor time (ms),Total time (ms)
0,119,0.957507,1.16835,2.12586
1,130,0.832737,0.769434,1.60217
2,118,0.779918,0.461354,1.24127
3,126,0.789146,0.534712,1.32386
4,108,0.772626,0.447948,1.22057
5,123,0.77326,1.08441,1.85767
6,131,0.800142,0.5524,1.35254
7,125,0.793656,0.518877,1.31253
8,119,0.85746,0.809833,1.66729
