Matches index,Matches number,Detector time (ms),Descriptor time (ms),Total time (ms)
0,12,12.1563,0.57372,12.73
1,10,10.6595,0.717788,11.3773
2,14,12.6781,0.631143,13.3093
3,15,10.878,0.67989,11.5579
4,16,22.2658,0.80453,23.0704
5,16,10.7417,0.699854,11.4415
6,15,12.0588,0.714632,12.7735
7,23,12.0191,0.903067,12.9222
8,21,14.6028,0.722625,15.3254
