Matches index,Matches number,Detector time (ms),Descriptor time (ms),Total time (ms)
0,14,11.5917,0.669785,12.2615
1,11,10.464,0.602433,11.0664
2,15,11.008,0.630252,11.6383
3,20,10.7614,0.559303,11.3207
4,24,20.1799,0.624656,20.8045
5,26,9.89235,0.565531,10.4579
6,16,12.9443,0.55512,13.4995
7,24,10.9656,0.535736,11.5013
8,23,15.121,0.556647,15.6777
