Matches index,Matches number,Detector time (ms),Descriptor time (ms),Total time (ms)
0,134,52.0447,14.42,66.4647
1,134,48.8622,14.6367,63.4989
2,130,46.6872,14.5569,61.2441
3,136,44.5367,14.7941,59.3308
4,137,48.1116,14.858,62.9696
5,147,48.4344,15.0893,63.5237
6,147,47.4593,15.1139,62.5732
7,154,47.6607,15.2136,62.8744
8,151,46.2261,16.6635,62.8896
