Matches index,Matches number,Detector time (ms),Descriptor time (ms),Total time (ms)
0,73,5.53246,0.986192,6.51865
1,74,5.06694,0.968323,6.03526
2,79,5.24884,1.06009,6.30894
3,85,5.00021,1.03365,6.03386
4,79,4.97827,1.15704,6.13531
5,92,5.03205,1.19721,6.22926
6,90,5.05201,1.19832,6.25033
7,88,5.0245,1.16882,6.19332
8,91,5.30279,1.17716,6.47995
