Matches index,Matches number,Detector time (ms),Descriptor time (ms),Total time (ms)
0,112,9.4125,15.8845,25.297
1,109,12.1851,13.9151,26.1001
2,104,12.1363,13.5747,25.711
3,103,11.5598,13.6848,25.2445
4,99,10.1255,14.3974,24.5229
5,101,10.2156,14.5572,24.7729
6,96,10.3496,14.0318,24.3815
7,106,11.6743,13.6775,25.3518
8,97,10.1886,14.4388,24.6274
