Matches index,Matches number,Detector time (ms),Descriptor time (ms),Total time (ms)
0,86,76.9572,0.754947,77.7122
1,78,78.0753,0.79842,78.8737
2,76,81.6395,0.958737,82.5982
3,85,83.281,0.96558,84.2466
4,69,83.0188,0.98559,84.0044
5,74,91.9419,1.20639,93.1483
6,76,85.3508,0.97058,86.3214
7,70,82.4903,1.00454,83.4948
8,88,83.7408,0.976373,84.7171
