Matches index,Matches number,Detector time (ms),Descriptor time (ms),Total time (ms)
0,104,13.1512,3.15752,16.3087
1,103,10.7612,2.87846,13.6397
2,100,11.7775,2.91377,14.6913
3,102,10.5323,2.82607,13.3584
4,103,10.0146,2.93561,12.9502
5,98,10.2882,2.80316,13.0914
6,98,10.6695,3.01121,13.6807
7,102,10.0324,2.88537,12.9178
8,97,11.8468,2.95699,14.8038
