Matches index,Matches number,Detector time (ms),Descriptor time (ms),Total time (ms)
0,115,10.9985,0.839994,11.8385
1,111,11.7279,0.808854,12.5368
2,104,10.3134,0.772248,11.0857
3,101,11.1495,0.773209,11.9227
4,102,10.4993,0.793249,11.2925
5,102,10.1973,0.734327,10.9316
6,100,10.9788,0.788335,11.7671
7,109,9.98427,0.714935,10.6992
8,100,11.5542,0.758416,12.3126
