Matches index,Matches number,Detector time (ms),Descriptor time (ms),Total time (ms)
0,160,30.2276,8.886,39.1136
1,171,29.8303,8.73779,38.5681
2,157,29.4175,8.9614,38.3789
3,170,29.4845,8.98597,38.4705
4,154,30.3342,8.75045,39.0846
5,180,29.4067,9.03739,38.4441
6,171,29.7684,9.40457,39.173
7,175,29.8243,8.75791,38.5822
8,172,29.5927,9.30962,38.9023
