Image index,Keypoints number,Keypoints neighborhood size
0,264,21.5492
1,282,21.7853
2,282,21.6509
3,277,20.3582
4,297,22.5911
5,279,22.9442
6,289,21.8014
7,272,22.1472
8,266,22.5558
9,254,22.0389
