Image index,Keypoints number,Keypoints neighborhood size
0,138,4.98472
1,132,5.08981
2,124,4.93926
3,137,4.73123
4,134,4.7196
5,140,4.68398
6,137,5.40798
7,148,4.62187
8,159,5.51997
9,137,5.6251
